!n: Number of areas
n: 39
!I: Set if areas
I: [10001 10002 10003 10004 10005 10006 10007 10008 10009 10010 10011 10012 10013 10014 10015 10016 10017 10018 10019 10020 10021 10022 10023 10024 10025 10026 10027 10028 10029 10030 10031 10032 10033 10034 10035 10036 10037 10038 10039 ]
!p: Number of regions
p: 5
!K: Set of regions
K: [1 2 3 4 5 ]
!N: Node Neighbor Set
N: [
(10001) [10003 10005 10020 10026 10028 10032 10039]
(10002) [10032 10034 10035 10037]
(10003) [10001 10018 10024 10028 10032 10039]
(10004) [10006 10008 10012 10015 10021 10022 10031]
(10005) [10001 10008 10014 10016 10020 10022 10023 10026]
(10006) [10004 10012 10027 10031]
(10007) [10012 10013 10036]
(10008) [10004 10005 10020 10021 10022]
(10009) [10017 10018 10025 10035]
(10010) [10011 10013 10017 10030]
(10011) [10010 10017 10018 10024 10030]
(10012) [10004 10006 10007 10013 10015]
(10013) [10007 10010 10012 10015 10030 10036]
(10014) [10005 10016 10023 10033]
(10015) [10004 10012 10013 10021 10024 10028 10029 10030]
(10016) [10005 10014 10022 10033 10038]
(10017) [10009 10010 10011 10018 10025]
(10018) [10003 10009 10011 10017 10024 10025 10032 10035]
(10019) [10026 10032 10034]
(10020) [10001 10005 10008 10021 10028]
(10021) [10004 10008 10015 10020 10028]
(10022) [10004 10005 10008 10016 10038]
(10023) [10005 10014 10026]
(10024) [10003 10011 10015 10018 10028 10029 10030]
(10025) [10009 10017 10018]
(10026) [10001 10005 10019 10023 10032 10034]
(10027) [10006]
(10028) [10001 10003 10015 10020 10021 10024]
(10029) [10015 10024 10030]
(10030) [10010 10011 10013 10015 10024 10029]
(10031) [10004 10006]
(10032) [10001 10002 10003 10018 10019 10026 10034 10035 10039]
(10033) [10014 10016 10038]
(10034) [10002 10019 10026 10032 10035 10037]
(10035) [10002 10009 10018 10032 10034 10037]
(10036) [10007 10013]
(10037) [10002 10034 10035]
(10038) [10016 10022 10033]
(10039) [10001 10003 10032]
]
!d(i,j): distance list
d: [
(10001 10001) 0.0
(10001 10002) 0.9975323248734522
(10001 10003) 1.3181219547381597
(10001 10004) 1.7722546164250312
(10001 10005) 0.8501409605311588
(10001 10006) 0.9564094699029217
(10001 10007) 1.1576072216708713
(10001 10008) 0.48921652164280904
(10001 10009) 1.4748833149321015
(10001 10010) 1.3604225296481967
(10001 10011) 1.3883400113860411
(10001 10012) 0.8098967278615741
(10001 10013) 1.0155773314133698
(10001 10014) 0.7188110460088367
(10001 10015) 0.9736286600879396
(10001 10016) 1.0098619276008713
(10001 10017) 0.900021322521331
(10001 10018) 0.5978327713056568
(10001 10019) 1.1275288977853242
(10001 10020) 0.7444729083571567
(10001 10021) 0.8664381128852559
(10001 10022) 0.8214717740675175
(10001 10023) 0.6235162513320163
(10001 10024) 0.8054569545437418
(10001 10025) 1.0003956725667973
(10001 10026) 0.9300633339975038
(10001 10027) 0.8986295521380687
(10001 10028) 0.4626906525924833
(10001 10029) 0.9832006323763871
(10001 10030) 1.543370113038258
(10001 10031) 0.8590435057582032
(10001 10032) 1.5957347691240498
(10001 10033) 1.0015457345995755
(10001 10034) 1.1073639427595061
(10001 10035) 0.2949326972656205
(10001 10036) 1.548460946757598
(10001 10037) 1.8347397710117483
(10001 10038) 0.4963657136100556
(10001 10039) 0.801604733300622
(10002 10001) 0.9975323248734522
(10002 10002) 0.0
(10002 10003) 1.2933869199853854
(10002 10004) 1.8018432390050139
(10002 10005) 0.8935506767103458
(10002 10006) 1.0496592612488869
(10002 10007) 0.5319151706792506
(10002 10008) 1.0355860523244214
(10002 10009) 1.5130914468151253
(10002 10010) 1.4601918858363643
(10002 10011) 1.4497625137011325
(10002 10012) 0.5524835147977549
(10002 10013) 1.307259252027758
(10002 10014) 1.0182600981800871
(10002 10015) 1.112493594604726
(10002 10016) 0.32344609554010795
(10002 10017) 0.9879185966647956
(10002 10018) 1.0446453247027052
(10002 10019) 1.1889514001004153
(10002 10020) 0.8966497663829736
(10002 10021) 0.8728717200566087
(10002 10022) 1.049790882495459
(10002 10023) 0.46791088265509495
(10002 10024) 1.0873872857466824
(10002 10025) 1.1001650287549651
(10002 10026) 0.9970940285326494
(10002 10027) 1.035530753049601
(10002 10028) 1.3663410369110445
(10002 10029) 0.9865028053136633
(10002 10030) 1.6431394692264258
(10002 10031) 0.6994425304566189
(10002 10032) 1.6894162631809262
(10002 10033) 1.1114042130537152
(10002 10034) 1.212877998013049
(10002 10035) 0.7737666530409885
(10002 10036) 0.6812943617311056
(10002 10037) 1.8440471615452017
(10002 10038) 0.9930228109119013
(10002 10039) 0.3437785260895323
(10003 10001) 1.3181219547381597
(10003 10002) 1.2933869199853854
(10003 10003) 0.0
(10003 10004) 1.8911464175913095
(10003 10005) 1.5271789423553148
(10003 10006) 0.36861125451729476
(10003 10007) 1.825302090664636
(10003 10008) 0.9139332234157939
(10003 10009) 1.549434211942333
(10003 10010) 0.8966558883594281
(10003 10011) 0.6575046821959499
(10003 10012) 1.3238141138642205
(10003 10013) 1.5561670693708862
(10003 10014) 0.7826906789732406
(10003 10015) 0.4724944297158473
(10003 10016) 1.5132356211267197
(10003 10017) 0.42787411250682683
(10003 10018) 0.7781080977406114
(10003 10019) 0.4279772574501456
(10003 10020) 0.601366477309489
(10003 10021) 0.500064186753829
(10003 10022) 0.5608156028368795
(10003 10023) 1.242254760772623
(10003 10024) 0.618147872961042
(10003 10025) 0.7881158124751688
(10003 10026) 0.578639556502307
(10003 10027) 0.43277232641907837
(10003 10028) 1.0661902134982257
(10003 10029) 0.4216922910350801
(10003 10030) 0.9375
(10003 10031) 0.716948639780317
(10003 10032) 1.858802194350729
(10003 10033) 0.5672433958697605
(10003 10034) 0.3935773979669071
(10003 10035) 1.1667898613052359
(10003 10036) 1.9746812817164907
(10003 10037) 1.8585030667302047
(10003 10038) 0.9234400356927482
(10003 10039) 1.5567148454749413
(10004 10001) 1.7722546164250312
(10004 10002) 1.8018432390050139
(10004 10003) 1.8911464175913095
(10004 10004) 0.0
(10004 10005) 1.489084390516256
(10004 10006) 1.7796422021569516
(10004 10007) 1.7473549986776824
(10004 10008) 1.7571168368276662
(10004 10009) 0.35771930068393837
(10004 10010) 1.824963763815307
(10004 10011) 1.897282327942905
(10004 10012) 1.725424487617888
(10004 10013) 0.7685222976150327
(10004 10014) 1.782349258307574
(10004 10015) 1.7769455947331732
(10004 10016) 1.7832365179121756
(10004 10017) 1.77631407368275
(10004 10018) 1.7646943155479837
(10004 10019) 1.8018432390050136
(10004 10020) 1.7757974886276058
(10004 10021) 1.794879371538337
(10004 10022) 1.7571168368276664
(10004 10023) 1.773942212689268
(10004 10024) 1.7762095864143148
(10004 10025) 1.8018432390050139
(10004 10026) 1.7792301043702428
(10004 10027) 1.7827613560942828
(10004 10028) 1.8020267186483865
(10004 10029) 1.801843239005014
(10004 10030) 1.920402852753198
(10004 10031) 1.7769455947331732
(10004 10032) 0.1896970219288362
(10004 10033) 1.7810828726141377
(10004 10034) 1.7884364587709105
(10004 10035) 1.7794470199395147
(10004 10036) 1.8837043554975161
(10004 10037) 0.11993854512001599
(10004 10038) 1.7666772805179876
(10004 10039) 1.7642582373847735
(10005 10001) 0.8501409605311588
(10005 10002) 0.8935506767103458
(10005 10003) 1.5271789423553148
(10005 10004) 1.489084390516256
(10005 10005) 0.0
(10005 10006) 1.1666313421647267
(10005 10007) 0.7331824692066896
(10005 10008) 0.8165475445822435
(10005 10009) 1.2357787066243384
(10005 10010) 1.4678600056797397
(10005 10011) 1.569723304994525
(10005 10012) 0.60759395182616
(10005 10013) 0.8956495121871388
(10005 10014) 1.068495888054059
(10005 10015) 1.1838505323497444
(10005 10016) 0.7553783520140018
(10005 10017) 1.108832624036988
(10005 10018) 0.9860663441663178
(10005 10019) 1.3219358323396302
(10005 10020) 0.9334760726673197
(10005 10021) 1.0271147556014855
(10005 10022) 1.0104567821032882
(10005 10023) 0.6628453238938194
(10005 10024) 1.0744443050443004
(10005 10025) 1.133588689408685
(10005 10026) 1.0382668541409983
(10005 10027) 1.1076865397552234
(10005 10028) 1.2183798620937458
(10005 10029) 1.1922576199935415
(10005 10030) 1.650807589069801
(10005 10031) 0.8316950066072533
(10005 10032) 1.3166531233935423
(10005 10033) 1.1895229420650673
(10005 10034) 1.3175858150213116
(10005 10035) 0.7750713060331789
(10005 10036) 1.3332548965598572
(10005 10037) 1.5576546642716622
(10005 10038) 0.8804692263476664
(10005 10039) 0.6888724973586736
(10006 10001) 0.9564094699029217
(10006 10002) 1.0496592612488869
(10006 10003) 0.36861125451729476
(10006 10004) 1.7796422021569516
(10006 10005) 1.1666313421647267
(10006 10006) 0.0
(10006 10007) 1.4809740065708514
(10006 10008) 0.5531993811565337
(10006 10009) 1.4748833149321012
(10006 10010) 0.7729119932748846
(10006 10011) 0.6758642588608957
(10006 10012) 0.9739887153534286
